,Model Type,Num_Topics,Topics,Perplexity,Coherence
0,LDA,12,"(0, '0.010*""forest"" + 0.010*""begin"" + 0.009*""wind"" + 0.008*""America"" + 0.008*""land"" + 0.007*""american"" + 0.007*""man"" + 0.007*""century"" + 0.006*""New"" + 0.006*""new""')",-8.164027861483689,0.4984861301979803
1,LDA,12,"(1, '0.022*""law"" + 0.014*""state"" + 0.014*""crime"" + 0.013*""police"" + 0.010*""white"" + 0.010*""penalty"" + 0.009*""punishment"" + 0.009*""criminal"" + 0.009*""death"" + 0.008*""officer""')",-8.164027861483689,0.4984861301979803
2,LDA,12,"(2, '0.020*""change"" + 0.015*""culture"" + 0.013*""society"" + 0.011*""theory"" + 0.010*""group"" + 0.009*""resistance"" + 0.008*""different"" + 0.008*""view"" + 0.006*""idea"" + 0.006*""see""')",-8.164027861483689,0.4984861301979803
3,LDA,12,"(3, '0.041*""social"" + 0.027*""medium"" + 0.025*""use"" + 0.025*""student"" + 0.018*""school"" + 0.016*""information"" + 0.015*""technology"" + 0.014*""internet"" + 0.012*""communication"" + 0.012*""bully""')",-8.164027861483689,0.4984861301979803
4,LDA,12,"(4, '0.056*""water"" + 0.014*""use"" + 0.011*""solution"" + 0.010*""brand"" + 0.008*""test"" + 0.008*""body"" + 0.007*""add"" + 0.007*""result"" + 0.006*""animal"" + 0.006*""experiment""')",-8.164027861483689,0.4984861301979803
5,LDA,12,"(5, '0.028*""people"" + 0.018*""make"" + 0.017*""would"" + 0.014*""go"" + 0.014*""life"" + 0.013*""time"" + 0.012*""get"" + 0.012*""change"" + 0.012*""take"" + 0.011*""way""')",-8.164027861483689,0.4984861301979803
6,LDA,12,"(6, '0.041*""woman"" + 0.036*""child"" + 0.018*""work"" + 0.017*""family"" + 0.015*""education"" + 0.014*""marriage"" + 0.010*""job"" + 0.010*""sex"" + 0.009*""discrimination"" + 0.009*""man""')",-8.164027861483689,0.4984861301979803
7,LDA,12,"(7, '0.027*""religion"" + 0.025*""human"" + 0.019*""right"" + 0.018*""life"" + 0.016*""God"" + 0.012*""religious"" + 0.010*""believe"" + 0.010*""belief"" + 0.010*""death"" + 0.007*""moral""')",-8.164027861483689,0.4984861301979803
8,LDA,12,"(8, '0.029*""change"" + 0.013*""organization"" + 0.012*""company"" + 0.010*""employee"" + 0.009*""management"" + 0.008*""need"" + 0.008*""business"" + 0.007*""process"" + 0.007*""new"" + 0.007*""system""')",-8.164027861483689,0.4984861301979803
9,LDA,12,"(9, '0.019*""country"" + 0.014*""government"" + 0.013*""economic"" + 0.011*""people"" + 0.011*""change"" + 0.010*""state"" + 0.008*""political"" + 0.007*""power"" + 0.007*""world"" + 0.006*""economy""')",-8.164027861483689,0.4984861301979803
10,LDA,12,"(10, '0.019*""water"" + 0.018*""climate"" + 0.011*""increase"" + 0.011*""change"" + 0.010*""global"" + 0.010*""energy"" + 0.010*""use"" + 0.008*""area"" + 0.007*""temperature"" + 0.007*""environment""')",-8.164027861483689,0.4984861301979803
11,LDA,12,"(11, '0.040*""health"" + 0.015*""care"" + 0.015*""patient"" + 0.013*""disease"" + 0.013*""drug"" + 0.011*""use"" + 0.009*""may"" + 0.008*""stress"" + 0.008*""effect"" + 0.008*""marijuana""')",-8.164027861483689,0.4984861301979803
12,LDA,20,"(0, '0.037*""water"" + 0.030*""climate"" + 0.018*""energy"" + 0.013*""global"" + 0.011*""cause"" + 0.011*""area"" + 0.011*""temperature"" + 0.010*""environmental"" + 0.010*""gas"" + 0.010*""use""')",-8.209201501357315,0.5090187069691252
